 Open, High, Low, Close, Volume
206.76,207.34,199.61,202.61,86591133
214.16,215.9,210.88,211.48,42620312
209.4,215.09,209.14,214.1,46212941
208.37,209.54,206.01,208.91,38942922
208.5,209.65,205.59,206.84,35456008
209.72,209.9633,207.44,208.18,36075848
207.44,212.25,207.19,210.05,52878379
200.01,207.55,199.14,207.09,72292172
196.04,199.82,195.99,199.5,30564779
196.45,197.33,194.3101,195.78,38492059
199,200.5,197.02,197.93,99687852
190.51,190.6,185.23,186.4,75146758
194.695,195.61,192.42,192.73,37707551
188.58,191.4599,187.815,190.83,35690160
189.565,190.21,188.21,188.39,27930840
187.85,190.45,187.53,187.83,29362061
185.25,187.11,183.86,186.38,21647400
188.85,189.16,183.69,184.71,31937090
188.35,191.5201,186.975,189.7,29650590
188.05,189.46,186.4,189.07,24639391
187.15,190.74,186.28,188.99,37417672
188.22,188.94,186,187.53,25039410
187.05,187.78,185.61,186.89,23456811
187.63,188.41,184.58,187.69,32178930
189.78,189.83,187.36,187.54,22614410
186.63,189.9284,186.3,188.82,25751561
187.13,188.134,185.83,186.65,27785039
182.82,185.845,182.05,185.17,26343119
181.915,183.09,180.92,182.72,26372090
182.95,183.6,180.25,180.8,42364199
185.75,187.6,183.6,186.51,41079008
183.045,183.44,180.875,181.96,30204301
184.44,186.6,184.04,184.76,23704061
184.9,186.19,183.4519,185.13,36044910
187.14,188.49,184.65,186.33,41680398
190.68,190.9,187.34,187.97,36002320
194.31,194.53,189.54,191.16,36334848
193.75,193.9498,192.16,192.53,26391141
194.27,195.37,190.13,193.96,43478930
191.64,194.45,190.57,193.88,36993113
190.23,191.84,187.41,191.6,100378602
190.04,190.99,188.47,189.87,39543168
186.45,188.8,185.06,186.43,34448129
186.85,189.45,186.14,186.88,26091680
185.29,185.81,183.36,184.89,26065490
187,188.5,185.91,186.49,26495350
184.8,187.41,183.54,187,33622480
180.095,184.99,175.73,184.52,42564699
177.49,180.5,176.79,179.55,36233801
174.53,175.85,173.51,175.4,29037359
177.24,178.38,171.16,171.39,41466539
175,179.875,174.995,177.89,40170527
174.48,175.98,172.54,173.33,30309230
177.55,178.26,175.26,176.25,37751800
172.78,178.9,172.6,178.5,43429359
173.22,174.29,170.81,172.12,26407820
173.69,173.69,168.92,170.8,29045029
174.15,174.89,172.25,173.12,29841980
176.7,177.4682,174.3,175.5,22366240
177.34,178.9699,175.24,177.04,29150090
181.38,181.47,175.68,176.13,32047480
179.92,182.385,178.8937,180.11,35599121
177.92,179.01,177.4308,178.88,26255199
177.64,178.3,176.16,178.22,31129811
