Date, Open, High, Low, Close, Volume
11/15/24, 419.82, 422.80, 413.64, 415.00, 28247641
11/14/24, 425.00, 428.17, 420.00, 426.89, 30246881
11/13/24, 421.64, 429.325, 418.21, 425.20, 21502189
11/12/24, 418.25, 424.44, 417.20, 423.03, 19401199
11/11/24, 422.515, 424.81, 416.00, 418.01, 24503320
11/08/24, 425.32, 426.50, 421.78, 422.54, 16891410
11/07/24, 421.28, 426.85, 419.88, 425.43, 19901779
11/06/24, 412.42, 420.45, 410.52, 420.18, 26681840
11/05/24, 408.37, 414.90, 408.08, 411.46, 17626010
11/04/24, 409.80, 410.415, 405.5713, 408.46, 19672289
11/01/24, 409.01, 415.50, 407.50, 410.37, 24230439
10/31/24, 415.36, 416.16, 406.30, 406.35, 53970980
10/30/24, 437.435, 438.50, 432.10, 432.53, 29749150
10/29/24, 428.00, 433.17, 425.8001, 431.95, 17644080
10/28/24, 431.655, 431.94, 426.30, 426.59, 14882440
10/25/24, 426.76, 432.52, 426.565, 428.15, 16899061
10/24/24, 425.325, 425.9782, 422.40, 424.73, 13581630
10/23/24, 430.855, 431.08, 422.53, 424.60, 19654381
10/22/24, 418.49, 430.5793, 418.04, 427.51, 25482199
10/21/24, 416.12, 418.96, 413.7501, 418.78, 14206120
10/18/24, 417.14, 419.65, 416.2601, 418.16, 17145320
10/17/24, 422.36, 422.50, 415.59, 416.72, 14820000
10/16/24, 415.17, 416.36, 410.48, 416.12, 15508930
10/15/24, 422.18, 422.48, 415.26, 418.74, 18900199
10/14/24, 417.77, 424.04, 417.52, 419.14, 16653090
10/11/24, 416.135, 417.13, 413.25, 416.32, 14144940
10/10/24, 415.225, 417.35, 413.15, 415.84, 13848380
10/09/24, 415.86, 420.38, 414.30, 417.46, 14974260
10/08/24, 410.90, 415.66, 408.17, 414.71, 19229260
10/07/24, 416.00, 417.11, 409.00, 409.54, 20919760
10/04/24, 418.24, 419.75, 414.97, 416.06, 19190910
10/03/24, 417.63, 419.55, 414.29, 416.54, 13686420
10/02/24, 422.58, 422.82, 416.71, 417.13, 16582260
10/01/24, 428.45, 428.48, 418.81, 420.69, 19092949
09/30/24, 428.21, 430.42, 425.37, 430.30, 16854609
09/27/24, 431.52, 431.85, 427.47, 428.02, 14896130
09/26/24, 435.085, 435.30, 429.13, 431.31, 14492040
09/25/24, 429.83, 433.119, 428.57, 432.11, 13396360
09/24/24, 433.00, 433.35, 426.10, 429.17, 17015750
09/23/24, 434.28, 436.46, 430.3889, 433.51, 15128890
09/20/24, 437.22, 439.24, 434.22, 435.27, 55167113
09/19/24, 441.225, 441.50, 436.90, 438.69, 21706561
09/18/24, 435.00, 436.03, 430.41, 430.81, 18898039
09/17/24, 440.23, 441.85, 432.27, 435.15, 18874230
09/16/24, 430.60, 433.53, 428.22, 431.34, 13834700
09/13/24, 425.825, 431.83, 425.46, 430.59, 15874560
09/12/24, 423.31, 427.3692, 419.75, 427.00, 17418760
09/11/24, 415.50, 423.99, 409.58, 423.04, 19266920
09/10/24, 408.20, 416.33, 407.70, 414.20, 19594289
09/09/24, 407.24, 408.65, 402.15, 405.72, 15295130
09/06/24, 409.06, 410.65, 400.80, 401.70, 19609529
09/05/24, 407.62, 413.10, 406.13, 408.39, 14195520
09/04/24, 405.91, 411.24, 404.37, 408.90, 15135810
09/03/24, 417.91, 419.88, 407.03, 409.44, 20294500
08/30/24, 415.60, 417.49, 412.13, 417.14, 24308320
08/29/24, 414.94, 422.05, 410.60, 413.12, 17045240
08/28/24, 414.88, 415.00, 407.31, 410.60, 14882660
08/27/24, 412.86, 414.36, 410.25, 413.84, 13492910
08/26/24, 416.365, 417.2799, 411.34, 413.49, 13152830
08/23/24, 416.98, 419.26, 412.09, 416.79, 18493779
08/22/24, 424.36, 426.7899, 414.61, 415.55, 19361900
08/21/24, 424.075, 426.40, 421.72, 424.14, 16067300
08/20/24, 421.70, 425.86, 421.64, 424.80, 16387580
08/19/24, 418.96, 421.75, 416.46, 421.53, 15233960
