 Open, High, Low, Close, Volume
310.57,324.6799,309.22,320.72,114440305
327.69,329.98,310.37,311.18,120726094
335.85,344.5999,322.5,330.24,125405602
342.74,345.84,323.31,328.49,155726000
346.3,358.64,336,350,210521594
299.14,328.71,297.66,321.22,204782797
288.89,299.75,285.52,296.91,117309203
284.67,289.59,275.62,288.53,165228703
247.34,255.2799,246.2101,251.44,69282516
244.56,248.9,238.88,242.84,68802352
252.043,254,246.63,248.98,57544762
257.99,259.75,249.25,249.85,66575289
258.035,263.35,255.8201,257.55,53993578
264.51,264.98,255.51,259.52,80521750
270,273.536,262.24,262.51,107653602
256.01,269.49,255.32,269.19,161611906
244.68,262.1199,242.65,260.48,204491906
217.125,218.72,212.11,213.65,80938891
217.31,218.22,215.26,217.97,43268738
218.9,220.48,215.726,218.85,47328992
220.71,222.28,219.23,220.7,49611871
221.59,222.08,217.9,220.89,50791781
221.4,222.8199,218.93,221.33,49632820
220.01,224.26,217.12,219.57,62988793
220.13,221.91,213.74,219.16,86291922
220.13,223.34,214.38,217.8,142628891
241.81,242.7899,232.34,238.77,83087055
243.82,247.43,239.51,241.05,66289531
243.56,246.21,240.56,244.5,56303160
249,249.83,240.7,240.83,68113273
246.69,250.96,244.58,250.08,86726289
244.48,249.79,237.81,240.66,80729242
247.55,251.1585,241.5,249.02,93983930
262.67,263.98,248.53,258.02,87397609
259.04,264.86,255.77,261.63,80873375
257.375,260.6999,254.12,260.46,70988070
260.6,261.75,251.53,254.22,67142195
252.54,257.05,252.28,257.02,65034320
254.08,257.19,249.0501,254.27,88491000
242.61,250,241.92,250,86927195
241.52,243.99,235.92,238.25,99879070
234,244.24,232.13,243.92,102694602
230.09,235.68,226.88,227.2,78010203
229.45,234.57,226.5533,227.87,66761641
229.3,229.96,223.53,226.78,54323000
228,232.67,226.32,230.29,59515113
224.66,231.45,223.83,229.81,72020039
224.55,228.47,216.8003,228.13,83548633
220.07,226.4,218.6377,226.17,78891133
216.2,219.87,213.67,216.27,67443523
232.6,233.6,210.51,210.73,112177000
223.49,235,222.25,230.17,119355000
210.59,222.22,210.57,219.41,80651766
215.26,219.904,209.64,210.6,76551800
208.63,214.5701,207.03,214.11,63370609
209.8,214.89,205.97,206.28,62308820
209.72,211.84,202.59,205.75,64116352
213.25,215.66,206.94,209.21,62821391
218.75,219.09,211.01,213.21,59301191
214.455,221.48,214.21,220.32,81525211
223.82,224.8,210.32,210.66,79514477
222.67,224.6594,218.86,223.27,70145961
224.88,228.22,219.56,221.1,74001188
217.07,222.98,214.09,222.72,76435219
