 Open, High, Low, Close, Volume
8.24,8.33,8.11,8.24,25808910
8.52,8.68,8.25,8.29,22487150
8.25,8.95,8.2,8.66,25253070
8.89,8.9,8.46,8.48,22188369
9.09,9.12,8.745,8.81,19596660
9.03,9.25,8.98,9.03,16755990
9.25,9.38,8.91,9.01,22423539
9.15,9.555,9.035,9.39,20371580
9.25,9.39,9.05,9.07,21096260
9.38,9.59,9.25,9.27,19195100
9.83,9.85,9.21,9.23,21728939
9.29,9.62,9.17,9.62,18324660
9.51,9.69,9.305,9.33,12252940
9.56,9.57,9.355,9.46,12190100
9.24,9.5,9.08,9.46,17058590
9.29,9.445,9.23,9.24,13503980
9.34,9.67,9.26,9.35,17788480
9.38,9.548,9.285,9.44,16275170
9.37,9.575,9.25,9.26,18012350
9.39,9.585,9.27,9.34,19522080
9.68,9.731,9.26,9.35,26213910
10.4,10.54,9.62,9.73,37311480
10.78,10.8,10.435,10.45,19985301
10.67,10.89,10.3215,10.79,21827279
10.97,11.06,10.34,10.66,32179881
10.47,11.11,10.25,11.07,49804602
9.6,10.64,9.6,10.42,88522391
9.28,9.45,8.915,9,33622219
8.9,9.28,8.81,9.21,19873920
8.9,9.04,8.81,9.03,15501410
9.035,9.17,8.87,8.91,18528051
8.82,9.09,8.75,9.08,18094760
8.77,8.9,8.67,8.87,14243670
8.85,8.93,8.71,8.72,16142070
8.63,8.693,8.52,8.67,13957560
8.76,9.04,8.69,8.7,15702920
8.95,9.03,8.595,8.7,19936900
9.13,9.29,8.94,8.96,20257529
8.61,9.2,8.6,9.06,27385330
8.33,8.59,8.3,8.52,19909500
8.5,8.525,8.22,8.25,22620850
8.6,8.74,8.51,8.53,17660830
8.67,8.78,8.55,8.56,15926210
8.92,8.9599,8.63,8.71,48982754
9.18,9.29,8.955,8.98,14688790
9.03,9.3,8.965,9.01,13956330
9.06,9.32,9.03,9.06,17276131
9.25,9.31,8.86,9.02,20637939
8.958,9.3,8.84,9.21,18163471
8.77,9.03,8.75,8.84,15954780
8.82,8.82,8.56,8.74,20591971
8.92,8.95,8.71,8.88,13420730
8.81,9.1,8.5899,8.91,20074109
8.77,9.05,8.632,8.77,22946680
8.72,8.85,8.46,8.74,27719359
8.841,9.07,8.62,8.65,24526240
9.205,9.22,8.9,8.97,27697600
9.3,9.49,9.14,9.25,19590439
9.365,9.405,9.03,9.25,24711859
9.45,9.48,9.14,9.38,24787051
10.33,10.37,9.38,9.45,45243602
10.35,10.6,10.275,10.38,15856620
10.05,10.39,10.03,10.3,18159311
